jury,juror,liability,negligence,oralArg,award
1,1,1,0,1,1
1,2,1,0,1,1
1,3,1,0,1,1
1,4,1,0,1,1
1,5,1,0,1,1
1,6,1,0,1,1
1,7,1,0,1,1
1,8,1,0,1,1
1,9,1,0,1,1
1,10,1,0,1,1
1,11,1,0,1,1
1,12,1,0,1,1
1,13,1,0,1,1
1,14,1,0,1,1
1,15,1,0,1,1
1,16,1,0,1,0
1,17,1,0,1,0
1,18,1,0,1,0
1,19,1,0,1,0
1,20,1,0,1,0
1,21,1,0,1,0
1,22,1,0,1,0
1,23,1,0,1,0
1,24,1,0,1,0
1,25,1,0,1,0
1,26,1,0,1,0
1,27,1,0,1,0
1,28,1,0,1,0
1,29,1,0,1,0
1,30,1,0,1,0
1,31,1,0,1,0
1,32,1,0,1,0
1,33,1,0,1,0
1,34,1,0,1,0
1,35,1,0,1,0
1,36,1,0,1,0
1,37,1,0,1,0
1,38,1,0,1,0
1,39,1,0,1,0
1,40,1,0,1,0
1,41,1,0,1,0
1,42,1,0,1,0
1,43,1,0,1,0
1,44,1,0,1,0
1,45,1,0,1,0
1,46,1,0,1,0
1,47,1,0,1,0
1,48,1,0,1,0
1,49,1,0,1,0
1,50,1,0,1,0
1,51,1,0,1,0
1,52,1,0,1,0
1,53,1,0,1,0
1,54,1,0,1,0
1,55,1,0,1,0
1,56,1,0,1,0
1,57,1,0,1,0
1,58,1,0,1,0
2,1,0,1,1,1
2,2,0,1,1,1
2,3,0,1,1,1
2,4,0,1,1,1
2,5,0,1,1,1
2,6,0,1,1,1
2,7,0,1,1,1
2,8,0,1,1,1
2,9,0,1,1,1
2,10,0,1,1,1
2,11,0,1,1,1
2,12,0,1,1,1
2,13,0,1,1,1
2,14,0,1,1,1
2,15,0,1,1,1
2,16,0,1,1,1
2,17,0,1,1,1
2,18,0,1,1,1
2,19,0,1,1,0
2,20,0,1,1,0
2,21,0,1,1,0
2,22,0,1,1,0
2,23,0,1,1,0
2,24,0,1,1,0
2,25,0,1,1,0
2,26,0,1,1,0
2,27,0,1,1,0
2,28,0,1,1,0
2,29,0,1,1,0
2,30,0,1,1,0
2,31,0,1,1,0
2,32,0,1,1,0
2,33,0,1,1,0
2,34,0,1,1,0
2,35,0,1,1,0
2,36,0,1,1,0
2,37,0,1,1,0
2,38,0,1,1,0
2,39,0,1,1,0
2,40,0,1,1,0
2,41,0,1,1,0
2,42,0,1,1,0
2,43,0,1,1,0
2,44,0,1,1,0
2,45,0,1,1,0
2,46,0,1,1,0
2,47,0,1,1,0
3,1,0,0,0,1
3,2,0,0,0,1
3,3,0,0,0,1
3,4,0,0,0,1
3,5,0,0,0,1
3,6,0,0,0,1
3,7,0,0,0,1
3,8,0,0,0,0
3,9,0,0,0,0
3,10,0,0,0,0
3,11,0,0,0,0
3,12,0,0,0,0
3,13,0,0,0,0
3,14,0,0,0,0
3,15,0,0,0,0
3,16,0,0,0,0
3,17,0,0,0,0
3,18,0,0,0,0
3,19,0,0,0,0
3,20,0,0,0,0
3,21,0,0,0,0
3,22,0,0,0,0
3,23,0,0,0,0
3,24,0,0,0,0
3,25,0,0,0,0
3,26,0,0,0,0
3,27,0,0,0,0
3,28,0,0,0,0
3,29,0,0,0,0
3,30,0,0,0,0
3,31,0,0,0,0
3,32,0,0,0,0
3,33,0,0,0,0
3,34,0,0,0,0
3,35,0,0,0,0
3,36,0,0,0,0
3,37,0,0,0,0
3,38,0,0,0,0
3,39,0,0,0,0
4,1,1,0,0,1
4,2,1,0,0,1
4,3,1,0,0,1
4,4,1,0,0,1
4,5,1,0,0,1
4,6,1,0,0,1
4,7,1,0,0,1
4,8,1,0,0,1
4,9,1,0,0,1
4,10,1,0,0,1
4,11,1,0,0,1
4,12,1,0,0,1
4,13,1,0,0,1
4,14,1,0,0,1
4,15,1,0,0,1
4,16,1,0,0,1
4,17,1,0,0,1
4,18,1,0,0,1
4,19,1,0,0,1
4,20,1,0,0,1
4,21,1,0,0,1
4,22,1,0,0,1
4,23,1,0,0,1
4,24,1,0,0,1
4,25,1,0,0,1
4,26,1,0,0,1
4,27,1,0,0,1
4,28,1,0,0,1
4,29,1,0,0,1
4,30,1,0,0,1
4,31,1,0,0,1
4,32,1,0,0,1
4,33,1,0,0,1
4,34,1,0,0,1
4,35,1,0,0,1
4,36,1,0,0,1
4,37,1,0,0,1
4,38,1,0,0,0
4,39,1,0,0,0
4,40,1,0,0,0
4,41,1,0,0,0
4,42,1,0,0,0
4,43,1,0,0,0
4,44,1,0,0,0
4,45,1,0,0,0
4,46,1,0,0,0
4,47,1,0,0,0
4,48,1,0,0,0
4,49,1,0,0,0
4,50,1,0,0,0
4,51,1,0,0,0
4,52,1,0,0,0
4,53,1,0,0,0
4,54,1,0,0,0
4,55,1,0,0,0
4,56,1,0,0,0
4,57,1,0,0,0
4,58,1,0,0,0
4,59,1,0,0,0
4,60,1,0,0,0
4,61,1,0,0,0
4,62,1,0,0,0
4,63,1,0,0,0
4,64,1,0,0,0
4,65,1,0,0,0
4,66,1,0,0,0
4,67,1,0,0,0
4,68,1,0,0,0
4,69,1,0,0,0
4,70,1,0,0,0
4,71,1,0,0,0
4,72,1,0,0,0
4,73,1,0,0,0
4,74,1,0,0,0
4,75,1,0,0,0
5,1,0,1,0,1
5,2,0,1,0,1
5,3,0,1,0,1
5,4,0,1,0,1
5,5,0,1,0,1
5,6,0,1,0,1
5,7,0,1,0,1
5,8,0,1,0,1
5,9,0,1,0,1
5,10,0,1,0,1
5,11,0,1,0,1
5,12,0,1,0,1
5,13,0,1,0,1
5,14,0,1,0,1
5,15,0,1,0,1
5,16,0,1,0,1
5,17,0,1,0,1
5,18,0,1,0,1
5,19,0,1,0,1
5,20,0,1,0,1
5,21,0,1,0,1
5,22,0,1,0,1
5,23,0,1,0,1
5,24,0,1,0,1
5,25,0,1,0,1
5,26,0,1,0,1
5,27,0,1,0,1
5,28,0,1,0,1
5,29,0,1,0,1
5,30,0,1,0,1
5,31,0,1,0,1
5,32,0,1,0,1
5,33,0,1,0,1
5,34,0,1,0,1
5,35,0,1,0,1
5,36,0,1,0,1
5,37,0,1,0,1
5,38,0,1,0,1
5,39,0,1,0,0
5,40,0,1,0,0
5,41,0,1,0,0
5,42,0,1,0,0
5,43,0,1,0,0
5,44,0,1,0,0
5,45,0,1,0,0
5,46,0,1,0,0
5,47,0,1,0,0
5,48,0,1,0,0
5,49,0,1,0,0
5,50,0,1,0,0
5,51,0,1,0,0
5,52,0,1,0,0
5,53,0,1,0,0
5,54,0,1,0,0
5,55,0,1,0,0
5,56,0,1,0,0
5,57,0,1,0,0
5,58,0,1,0,0
5,59,0,1,0,0
5,60,0,1,0,0
5,61,0,1,0,0
5,62,0,1,0,0
5,63,0,1,0,0
5,64,0,1,0,0
5,65,0,1,0,0
5,66,0,1,0,0
5,67,0,1,0,0
5,68,0,1,0,0
5,69,0,1,0,0
5,70,0,1,0,0
5,71,0,1,0,0
5,72,0,1,0,0
5,73,0,1,0,0
5,74,0,1,0,0
5,75,0,1,0,0
5,76,0,1,0,0
5,77,0,1,0,0
5,78,0,1,0,0
5,79,0,1,0,0
5,80,0,1,0,0
5,81,0,1,0,0
5,82,0,1,0,0
5,83,0,1,0,0
5,84,0,1,0,0
5,85,0,1,0,0
5,86,0,1,0,0
5,87,0,1,0,0
